"","ma1","T1-MA0","T1-MA1","T1-MA2","T1-MA3","T1-MA4","T1-MA5","T1-MA6","T1-MA7","T1-MA8","T1-MA9","T1-MA10","AIC"
"SWN.SUM","-0.03199","-0.00001","-0.00003","-0.00001"," 0.00000"," 0.00003","-0.00005","-0.00008","-0.00002"," 0.00001"," 0.00001"," 0.00005","-6731.36552"
"HL.SUM","-0.03068"," 0.00000","-0.00003"," 0.00004"," 0.00002"," 0.00003"," 0.00006"," 0.00005"," 0.00009"," 0.00011"," 0.00006"," 0.00005","-6746.60933"
"JKR.SUM","-0.02449"," 0.00006","-0.00002"," 0.00005"," 0.00002"," 0.00005"," 0.00008"," 0.00009"," 0.00014."," 0.00012."," 0.00007"," 0.00006","-6750.5476"
"STN.SUM","-0.03593","-0.00002","-0.00004","-0.00002","-0.00002"," 0.00002"," 0.00001"," 0.00002","-0.00001","-0.00001"," 0.00001"," 0.00002","-6740.77678"
"MPQA.SUM","-0.03008","-0.00003","-0.00004"," 0.00003"," 0.00000"," 0.00004"," 0.00008"," 0.00006"," 0.00007"," 0.00009"," 0.00008"," 0.00008","-6757.36378"
"SWN.AVG","-0.03128"," 0.00004","-0.00015","-0.00016"," 0.00020"," 0.00022"," 0.00015"," 0.00008"," 0.00034"," 0.00009"," 0.00004"," 0.00000","-6731.03494"
"HL.AVG","-0.03290"," 0.00012"," 0.00008"," 0.00031."," 0.00015"," 0.00026"," 0.00050**"," 0.00046*"," 0.00053**"," 0.00053**"," 0.00033*"," 0.00028*","-6747.97347"
"JKR.AVG","-0.03055"," 0.00036*"," 0.00012"," 0.00026"," 0.00009"," 0.00026"," 0.00049*"," 0.00056*"," 0.00071**"," 0.00064**"," 0.00042*"," 0.00036*","-6751.79541"
"STN.AVG","-0.03655","-0.00002","-0.00016","-0.00010","-0.00009"," 0.00011"," 0.00021"," 0.00022"," 0.00011"," 0.00005"," 0.00015"," 0.00016","-6740.48901"
"MPQA.AVG","-0.03332"," 0.00001"," 0.00002"," 0.00022"," 0.00009"," 0.00028"," 0.00054**"," 0.00044*"," 0.00041*"," 0.00043**"," 0.00035*"," 0.00032**","-6751.86657"
"SWN.PCTG","-0.03016"," 0.00015"," 0.00007","-0.00002"," 0.00050"," 0.00047"," 0.00048"," 0.00027"," 0.00037"," 0.00028"," 0.00023"," 0.00008","-6734.46103"
"HL.PCTG","-0.03568"," 0.00027"," 0.00026"," 0.00064*"," 0.00034"," 0.00045"," 0.00092**"," 0.00099**"," 0.00077*"," 0.00079*"," 0.00060*"," 0.00048*","-6744.43217"
"JKR.PCTG","-0.03145"," 0.00044*"," 0.00028"," 0.00056."," 0.00049"," 0.00041"," 0.00094**"," 0.00087*"," 0.00081*"," 0.00051"," 0.00037"," 0.00017","-6742.35628"
"STN.PCTG","-0.03759","-0.00011","-0.00037","-0.00031"," 0.00000"," 0.00053"," 0.00064"," 0.00049"," 0.00022","-0.00011"," 0.00020"," 0.00013","-6736.95369"
"MPQA.PCTG","-0.02900"," 0.00035"," 0.00024"," 0.00044"," 0.00009"," 0.00043"," 0.00085*"," 0.00088*"," 0.00063."," 0.00066*"," 0.00059*"," 0.00057*","-6743.97948"
