"","Ljung Box Test Stat","Shapiro Test Stat"
"SWN.SUM","0.00365","0.99628."
"HL.SUM","0.00421","0.99610*"
"JKR.SUM","0.00367","0.99570*"
"STN.SUM","0.00365","0.99639."
"MPQA.SUM","0.00374","0.99635."
"SWN.AVG","0.00357","0.99623."
"HL.AVG","0.00414","0.99600*"
"JKR.AVG","0.00390","0.99610*"
"STN.AVG","0.00356","0.99614*"
"MPQA.AVG","0.00011","0.99549*"
"SWN.PCTG","0.00363","0.99641."
"HL.PCTG","0.00457","0.99611*"
"JKR.PCTG","0.00387","0.99613*"
"STN.PCTG","0.00373","0.99627."
"MPQA.PCTG","0.00414","0.99641."
